Link,FileName
https://www.upes.ac.in/blog/eduspeak/national-sports-day-2019-significance-theme-and-benefits-of-sports-for-students,www.upes.ac.in_blog_eduspeak_national-sports-day-2019-significance-theme-and-benefits-of-sports-for-students.txt
https://www.upes.ac.in/news-and-press-release/upes-pays-soulful-musical-tribute-to-india-leading-the-world,www.upes.ac.in_news-and-press-release_upes-pays-soulful-musical-tribute-to-india-leading-the-world.txt
https://www.upes.ac.in/blog/advanced-engineering/future-of-civil-engineering,www.upes.ac.in_blog_advanced-engineering_future-of-civil-engineering.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/electrical/surajit-mondal,www.upes.ac.in_faculty_school-of-advanced-engineering_electrical_surajit-mondal.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/dr-niloopher-salam,www.upes.ac.in_faculty_school-of-advanced-engineering_applied-science_dr-niloopher-salam.txt
https://www.upes.ac.in/school-of-health-sciences-and-technology/bsc-health-sciences/clinical-research,www.upes.ac.in_school-of-health-sciences-and-technology_bsc-health-sciences_clinical-research.txt
https://www.upes.ac.in/national-academic-depository-nad,www.upes.ac.in_national-academic-depository-nad.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/shikha-wadhwa,www.upes.ac.in_faculty_school-of-advanced-engineering_applied-science_shikha-wadhwa.txt
https://www.upes.ac.in/faculty/school-of-law/shriya-pandey,www.upes.ac.in_faculty_school-of-law_shriya-pandey.txt
https://www.upes.ac.in/admissions/bdes,www.upes.ac.in_admissions_bdes.txt
https://www.upes.ac.in/faculty/school-of-health-sciences-and-technology/dr-kamesh-rajendra-babu,www.upes.ac.in_faculty_school-of-health-sciences-and-technology_dr-kamesh-rajendra-babu.txt
https://www.upes.ac.in/school-of-business/bba/digital-business-digital-marketing,www.upes.ac.in_school-of-business_bba_digital-business-digital-marketing.txt
https://www.upes.ac.in/faculty-achievements/dr-yogesh-kumar-gupta,www.upes.ac.in_faculty-achievements_dr-yogesh-kumar-gupta.txt
https://www.upes.ac.in/faculty/school-of-business/mohit-rishi,www.upes.ac.in_faculty_school-of-business_mohit-rishi.txt
https://www.upes.ac.in/school-of-law/ba-bba-bcom-llb-hons-criminal-law,www.upes.ac.in_school-of-law_ba-bba-bcom-llb-hons-criminal-law.txt
https://www.upes.ac.in/school-of-business/phd-business/phd-economics,www.upes.ac.in_school-of-business_phd-business_phd-economics.txt
https://www.upes.ac.in/blog/entrepreneurship/upes-alumnus-sets-up-indias-first-digital-pension-platform,www.upes.ac.in_blog_entrepreneurship_upes-alumnus-sets-up-indias-first-digital-pension-platform.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/mechanical/dr-jitendra-yadav,www.upes.ac.in_faculty_school-of-advanced-engineering_mechanical_dr-jitendra-yadav.txt
https://www.upes.ac.in/faculty/school-of-law/nikita-begum-talukdar,www.upes.ac.in_faculty_school-of-law_nikita-begum-talukdar.txt
https://www.upes.ac.in/upes-employees,www.upes.ac.in_upes-employees.txt
https://www.upes.ac.in/ambassador,www.upes.ac.in_ambassador.txt
https://www.upes.ac.in/faculty/school-of-business/dr-amrita-chaskar,www.upes.ac.in_faculty_school-of-business_dr-amrita-chaskar.txt
https://www.upes.ac.in/faculty-achievements/dr-vinay-kandpal,www.upes.ac.in_faculty-achievements_dr-vinay-kandpal.txt
https://www.upes.ac.in/faculty-achievements/abhishek-chandra,www.upes.ac.in_faculty-achievements_abhishek-chandra.txt
https://www.upes.ac.in/school-of-computer-science/btech-cse/cyber-security-and-forensics,www.upes.ac.in_school-of-computer-science_btech-cse_cyber-security-and-forensics.txt
https://www.upes.ac.in/school-of-business/bba/oil-and-gas-marketing-oil-and-gas-operations,www.upes.ac.in_school-of-business_bba_oil-and-gas-marketing-oil-and-gas-operations.txt
https://www.upes.ac.in/faculty/school-of-computer-science/anil-kumar,www.upes.ac.in_faculty_school-of-computer-science_anil-kumar.txt
https://www.upes.ac.in/industry-connect/hubhopper,www.upes.ac.in_industry-connect_hubhopper.txt
https://www.upes.ac.in/school-of-advanced-engineering/bsc-hons/mathematics-by-research,www.upes.ac.in_school-of-advanced-engineering_bsc-hons_mathematics-by-research.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/energy/dr-harinandan-kumar,www.upes.ac.in_faculty_school-of-advanced-engineering_energy_dr-harinandan-kumar.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/prashant-shambhudayal-rawat,www.upes.ac.in_faculty_school-of-advanced-engineering_applied-science_prashant-shambhudayal-rawat.txt
https://www.upes.ac.in/school-of-business/bba/foreign-trade,www.upes.ac.in_school-of-business_bba_foreign-trade.txt
https://www.upes.ac.in/faculty/school-of-design/ms-baljinder-kaur,www.upes.ac.in_faculty_school-of-design_ms-baljinder-kaur.txt
https://www.upes.ac.in/admissions/fee-structure,www.upes.ac.in_admissions_fee-structure.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/dr-manjeet-singh-goyat,www.upes.ac.in_faculty_school-of-advanced-engineering_applied-science_dr-manjeet-singh-goyat.txt
https://www.upes.ac.in/school-of-health-sciences-and-technology/bsc-health-sciences/food-nutrition-and-dietetics,www.upes.ac.in_school-of-health-sciences-and-technology_bsc-health-sciences_food-nutrition-and-dietetics.txt
https://www.upes.ac.in/blog/entrepreneurship/upes-students-build-a-brand-to-provide-affordable-anime-merchandise,www.upes.ac.in_blog_entrepreneurship_upes-students-build-a-brand-to-provide-affordable-anime-merchandise.txt
https://www.upes.ac.in/blog/academic-excellence/sectors-that-attract-the-most-venture-capital,www.upes.ac.in_blog_academic-excellence_sectors-that-attract-the-most-venture-capital.txt
https://www.upes.ac.in/advisory-board/savita-mahajan,www.upes.ac.in_advisory-board_savita-mahajan.txt
https://www.upes.ac.in/advisory-board/nayathode-narayana-pisharody,www.upes.ac.in_advisory-board_nayathode-narayana-pisharody.txt
https://www.upes.ac.in/faculty/school-of-law/bharti-nair-khan,www.upes.ac.in_faculty_school-of-law_bharti-nair-khan.txt
https://www.upes.ac.in/minors-for-school-of-modern-media,www.upes.ac.in_minors-for-school-of-modern-media.txt
https://www.upes.ac.in/school-of-law/ba-bba-bcom-llb-hons-constitutional-Law,www.upes.ac.in_school-of-law_ba-bba-bcom-llb-hons-constitutional-Law.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/mechanical/dr-subhankar-das,www.upes.ac.in_faculty_school-of-advanced-engineering_mechanical_dr-subhankar-das.txt
https://www.upes.ac.in/faculty/school-of-design/sonal-singh,www.upes.ac.in_faculty_school-of-design_sonal-singh.txt
https://www.upes.ac.in/sustainable-development-goals/15,www.upes.ac.in_sustainable-development-goals_15.txt
https://www.upes.ac.in/faculty-achievements/neha-verma,www.upes.ac.in_faculty-achievements_neha-verma.txt
https://www.upes.ac.in/school-of-advance-engineering/postgraduate/mtech/sutainability,www.upes.ac.in_school-of-advance-engineering_postgraduate_mtech_sutainability.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/abhishek-kumar-mishra,www.upes.ac.in_faculty_school-of-advanced-engineering_applied-science_abhishek-kumar-mishra.txt
https://www.upes.ac.in/blog/advanced-engineering/transforming-indias-education-landscape-challenges-initiatives-and-future-roadmap,www.upes.ac.in_blog_advanced-engineering_transforming-indias-education-landscape-challenges-initiatives-and-future-roadmap.txt
https://www.upes.ac.in/faculty-achievements/siddhartha-mukherjee,www.upes.ac.in_faculty-achievements_siddhartha-mukherjee.txt
https://www.upes.ac.in/school-of-business/bba/finance-management,www.upes.ac.in_school-of-business_bba_finance-management.txt
https://www.upes.ac.in/faculty/school-of-law/ashok-kumar-tyagi,www.upes.ac.in_faculty_school-of-law_ashok-kumar-tyagi.txt
https://www.upes.ac.in/school-of-business/mba/business-analytics-in-collabration-with-kpmg,www.upes.ac.in_school-of-business_mba_business-analytics-in-collabration-with-kpmg.txt
https://www.upes.ac.in/professors-of-practice/yogesh-bhattarai,www.upes.ac.in_professors-of-practice_yogesh-bhattarai.txt
https://www.upes.ac.in/international-admissions,www.upes.ac.in_international-admissions.txt
https://www.upes.ac.in/industry-connect/xebia,www.upes.ac.in_industry-connect_xebia.txt
https://www.upes.ac.in/faculty/school-of-business/dr-mohammad-younus-bhatt,www.upes.ac.in_faculty_school-of-business_dr-mohammad-younus-bhatt.txt
https://www.upes.ac.in/school-of-computer-science/phd-cse/phd-cs,www.upes.ac.in_school-of-computer-science_phd-cse_phd-cs.txt
